timestamp,ph,tds_ppm
2025-04-25T10:06:58,6.37,9.29
2025-04-25T10:07:00,6.36,9.29
2025-04-25T10:07:02,6.42,8.74
2025-04-25T10:07:04,6.19,8.32
2025-04-25T10:07:06,6.2,8.19
2025-04-25T10:07:08,6.25,8.05
2025-04-25T10:07:10,6.06,8.19
2025-04-25T10:07:12,7.98,8.05
2025-04-25T10:07:14,8.69,8.32
2025-04-25T10:07:16,8.83,8.05
2025-04-25T10:07:18,8.87,8.05
2025-04-25T10:07:20,8.9,8.05
2025-04-25T10:07:22,8.91,8.19
2025-04-25T10:07:24,8.91,8.05
2025-04-25T10:07:26,8.95,8.05
2025-04-25T10:07:28,8.96,7.63
2025-04-25T10:07:30,8.94,7.91
2025-04-25T10:07:32,8.96,7.5
2025-04-25T10:07:34,8.93,7.63
2025-04-25T10:07:36,8.92,7.91
2025-04-25T10:07:38,8.92,8.05
2025-04-25T10:07:40,8.91,8.32
2025-04-25T10:07:42,8.92,8.46
2025-04-25T10:07:44,8.91,8.32
2025-04-25T10:07:46,8.9,8.19
2025-04-25T10:07:48,8.9,8.32
2025-04-25T10:07:50,8.91,8.32
2025-04-25T10:07:52,8.89,7.91
2025-04-25T10:07:54,8.9,8.6
2025-04-25T10:07:56,8.9,9.43
2025-04-25T10:07:58,8.89,9.01
2025-04-25T10:08:00,8.89,9.15
2025-04-25T10:08:02,8.88,8.88
2025-04-25T10:08:04,8.88,9.15
2025-04-25T10:08:06,8.86,9.57
2025-04-25T10:08:08,8.87,9.15
2025-04-25T10:08:10,8.87,9.57
2025-04-25T10:08:12,8.86,9.15
2025-04-25T10:08:14,8.86,9.01
2025-04-25T10:08:16,8.85,8.88
2025-04-25T10:08:18,8.85,9.01
2025-04-25T10:08:20,8.85,9.01
2025-04-25T10:08:22,8.86,8.46
2025-04-25T10:08:24,8.85,9.01
2025-04-25T10:08:26,8.85,8.74
2025-04-25T10:08:28,8.85,8.88
2025-04-25T10:08:30,8.85,8.88
2025-04-25T10:08:32,8.85,9.43
2025-04-25T10:08:34,8.84,9.43
2025-04-25T10:08:36,8.84,9.29
2025-04-25T10:08:38,8.84,9.7
2025-04-25T10:08:40,8.84,9.43
2025-04-25T10:08:42,8.84,9.15
2025-04-25T10:08:44,8.84,9.01
2025-04-25T10:08:46,8.85,9.43
2025-04-25T10:08:48,8.84,9.29
2025-04-25T10:08:50,8.84,8.88
2025-04-25T10:08:52,8.84,9.15
2025-04-25T10:08:54,8.84,8.88
2025-04-25T10:08:56,8.85,8.74
2025-04-25T10:08:58,8.85,8.74
2025-04-25T10:09:00,8.84,9.15
2025-04-25T10:09:02,8.85,9.15
2025-04-25T10:09:04,8.85,8.88
2025-04-25T10:09:06,8.85,8.46
2025-04-25T10:09:08,8.84,9.29
2025-04-25T10:09:10,8.84,9.01
2025-04-25T10:09:12,8.85,9.15
2025-04-25T10:09:14,8.84,8.88
2025-04-25T10:09:16,8.84,9.15
2025-04-25T10:09:18,8.84,8.74
2025-04-25T10:09:20,8.84,8.88
2025-04-25T10:09:22,8.84,8.88
2025-04-25T10:09:24,8.84,8.88
2025-04-25T10:09:26,8.84,8.88
2025-04-25T10:09:28,8.84,9.01
2025-04-25T10:09:30,8.84,8.6
2025-04-25T10:09:32,8.84,8.88
2025-04-25T10:09:34,8.84,9.01
2025-04-25T10:09:36,8.84,9.29
2025-04-25T10:09:38,8.84,8.74
2025-04-25T10:09:40,8.84,8.88
2025-04-25T10:09:42,8.84,9.01
2025-04-25T10:09:44,8.84,8.74
2025-04-25T10:09:46,8.86,8.88
2025-04-25T10:09:48,8.84,8.88
2025-04-25T10:09:50,8.84,8.74
2025-04-25T10:09:52,8.84,8.74
2025-04-25T10:09:54,8.84,8.74
2025-04-25T10:09:56,8.83,8.6
2025-04-25T10:09:58,8.84,8.74
2025-04-25T10:10:00,8.84,8.6
2025-04-25T10:10:02,8.83,8.6
2025-04-25T10:10:04,8.85,8.88
2025-04-25T10:10:06,8.85,8.74
2025-04-25T10:10:08,8.84,9.01
2025-04-25T10:10:10,8.85,9.01
2025-04-25T10:10:12,8.84,9.15
2025-04-25T10:10:14,8.83,8.74
2025-04-25T10:10:16,8.87,19.01
2025-04-25T10:10:18,6.28,20.36
2025-04-25T10:10:20,1.1,9.15
2025-04-25T10:10:22,9.79,8.88
2025-04-25T10:10:24,11.74,1.12
2025-04-25T10:10:26,8.69,2.37
2025-04-25T10:10:28,8.67,1.81
2025-04-25T10:10:30,8.65,2.23
2025-04-25T10:10:32,8.57,2.37
2025-04-25T10:10:34,8.74,1.95
2025-04-25T10:10:36,8.59,2.09
2025-04-25T10:10:38,8.66,2.09
2025-04-25T10:10:40,8.64,2.23
2025-04-25T10:10:42,8.61,1.95
2025-04-25T10:10:44,8.6,1.81
2025-04-25T10:10:46,8.44,1.95
2025-04-25T10:10:48,8.62,1.95
2025-04-25T10:10:50,8.46,1.81
2025-04-25T10:10:52,8.57,1.67
2025-04-25T10:10:54,8.37,1.25
2025-04-25T10:10:56,5.69,1.39
2025-04-25T10:10:58,4.19,0.42
2025-04-25T10:11:00,4.11,0.42
2025-04-25T10:11:02,4.09,0.7
2025-04-25T10:11:04,4.07,0.42
2025-04-25T10:11:06,4.05,1.12
2025-04-25T10:11:08,4.05,0.98
2025-04-25T10:11:10,4.04,0.98
2025-04-25T10:11:12,4.03,0.7
2025-04-25T10:11:14,4.02,0.42
2025-04-25T10:11:16,4.0,0.98
2025-04-25T10:11:18,3.99,1.12
2025-04-25T10:11:20,3.98,0.7
2025-04-25T10:11:22,3.98,0.56
2025-04-25T10:11:24,3.98,0.42
2025-04-25T10:11:26,3.98,0.98
2025-04-25T10:11:28,3.98,0.7
2025-04-25T10:11:30,3.97,0.42
2025-04-25T10:11:32,3.98,0.28
2025-04-25T10:11:34,3.98,0.42
2025-04-25T10:11:36,3.98,0.42
2025-04-25T10:11:38,3.98,0.84
2025-04-25T10:11:40,3.98,0.56
2025-04-25T10:11:42,3.98,0.28
2025-04-25T10:11:44,3.97,0.28
2025-04-25T10:11:46,3.98,0.84
2025-04-25T10:11:48,3.97,1.12
2025-04-25T10:11:50,3.97,0.28
2025-04-25T10:11:52,3.96,0.28
2025-04-25T10:11:54,3.97,0.14
2025-04-25T10:11:56,3.96,0.0
2025-04-25T10:11:58,3.96,0.84
2025-04-25T10:12:00,3.94,0.56
2025-04-25T10:12:02,3.95,0.14
2025-04-25T10:12:04,3.97,0.0
2025-04-25T10:12:06,3.95,0.56
2025-04-25T10:12:08,3.95,0.7
2025-04-25T10:12:10,3.95,0.56
2025-04-25T10:12:12,3.94,0.84
2025-04-25T10:12:14,3.94,1.25
2025-04-25T10:12:16,3.94,0.7
2025-04-25T10:12:18,3.95,1.12
2025-04-25T10:12:20,3.96,0.98
2025-04-25T10:12:22,3.95,0.56
2025-04-25T10:12:24,3.95,0.98
2025-04-25T10:12:26,3.94,1.39
2025-04-25T10:12:28,3.94,0.84
2025-04-25T10:12:30,3.94,1.12
2025-04-25T10:12:32,3.96,0.14
2025-04-25T10:12:34,3.95,1.12
2025-04-25T10:12:36,3.94,0.84
2025-04-25T10:12:38,3.93,1.25
2025-04-25T10:12:40,3.95,0.56
2025-04-25T10:12:42,3.94,1.25
2025-04-25T10:12:44,3.94,0.84
2025-04-25T10:12:46,3.94,0.98
2025-04-25T10:12:48,3.94,0.7
2025-04-25T10:12:50,3.94,0.56
2025-04-25T10:12:52,3.94,0.7
2025-04-25T10:12:54,3.94,0.7
2025-04-25T10:12:56,3.93,0.98
